"Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount"
"5/2/2019,Buy,KL,49741E100,""***KIRKLAND LAKE GOLD LTD     COMMON SHARES"",500,30.8,4.95,15404.95"
"5/3/2019,Buy,AAPL,037833100,""APPLE INC"",100,211.15,4.95,21119.95"
"5/3/2019,Buy,AMZN,023135106,""AMAZON.COM INC"",10,1957,4.95,19574.95"
"5/6/2019,Buy,912796SC4,912796SC4,""UNITED STATES TREASURY BILL   RE-ISSUE 05/09/2019           DUE 08/08/2019                UNSOLICITED"",350000,99.398389,0.0000,347894.36"
"5/7/2019,Buy,FFTY,45782C102,""INNOVATOR ETFS TRUST          INNOVATOR IBD 50 ETF          PROSPECTUS ON INITIAL PURCHASE"",500,33.2999,4.95,16654.9"
"5/7/2019,Sell,KL,49741E100,""***KIRKLAND LAKE GOLD LTD     COMMON SHARES"",500,32.4515,4.95,16220.4"
"5/9/2019,Buy,NFLX,64110L106,""NETFLIX COM INC"",1,355,4.95,359.95"
"5/9/2019,Buy,NFLX,64110L106,""NETFLIX COM INC"",49,354.88,0.0000,17389.12"
"5/9/2019,Buy,HSC,415864107,""HARSCO CORP"",500,25.76,4.95,12884.95"
"5/9/2019,Sell,HSC,415864107,""HARSCO CORP"",500,25.7,4.95,12844.72"
"5/13/2019,Buy,MA,57636Q104,""MASTERCARD INCORPORATED"",100,240.5,4.95,24054.95"
"5/13/2019,Buy,DECK,243537107,""DECKERS OUTDOOR CORPORATION"",100,140,4.95,14004.95"
"5/14/2019,Buy,TTWO,874054109,""TAKE TWO INTERACTIVE SOFTWARE INC"",100,105.6,4.95,10564.95"
"5/14/2019,Sell,TTWO,874054109,""TAKE TWO INTERACTIVE SOFTWARE INC"",100,104.9718,4.95,10492"
"5/16/2019,Buy,IOVA,462260100,""IOVANCE BIOTHERAPEUTICS INC   COMMON STOCK"",1000,16.25,4.95,16254.95"
"5/16/2019,Sell,IOVA,462260100,""IOVANCE BIOTHERAPEUTICS INC   COMMON STOCK"",900,16.004,0.0000,14403.19"
"5/16/2019,Sell,IOVA,462260100,""IOVANCE BIOTHERAPEUTICS INC   COMMON STOCK"",100,16.0039,4.95,1595.39"
"5/16/2019,Sell,ARQL,04269E107,""ARQULE INC"",26,6.85,4.95,173.14"
"5/16/2019,Buy,ARQL,04269E107,""ARQULE INC"",1000,6.7496,4.95,6754.55"
"5/16/2019,Sell,ARQL,04269E107,""ARQULE INC"",574,6.96,0.0000,3994.88"
"5/16/2019,Sell,ARQL,04269E107,""ARQULE INC"",100,6.9601,0.0000,695.98"
