"TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description"
"08/23/19,Sold,EQ,CPRT,-250,18559.18,74.2582,4.95,COPART INC"
"08/23/19,Sold,EQ,IBM,-100,13184.26,131.895,4.95,INTERNATIONAL BUSINESS        MACHINES CORP"
"08/23/19,Sold,EQ,MSFT,-200,27166.48,135.8601,4.95,MICROSOFT CORP"
"08/23/19,Sold,EQ,CMCSA,-500,21642.84,43.2966,4.95,COMCAST CORP                  CL A"
"08/23/19,Bought,EQ,CPRT,198,-14870.79,75.08,4.95,COPART INC"
"08/23/19,Bought,EQ,CPRT,52,-3904.95,75,4.95,COPART INC"
"08/22/19,Sold,EQ,TTD,-100,26040.54,260.4604,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"08/22/19,Bought,BOND,912796VW6,500000,-499198.89,99.839778,0,UNITED STATES TREASURY BILL   RE-ISSUE 08/27/2019           "
"08/22/19,Bought,EQ,TTD,100,-25704.95,257,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"08/22/19,Sold,EQ,TTD,-100,26274.49,262.8,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"08/22/19,Sold,EQ,BJ,-1000,25744.39,25.75,4.95,BJ S WHOLESALE CLUB HOLDINGS  INC COMMON STOCK"
"08/22/19,Bought,EQ,BJ,1000,-25415.25,25.4103,4.95,BJ S WHOLESALE CLUB HOLDINGS  INC COMMON STOCK"
"08/20/19,Bought,EQ,AMD,1000,-30744.95,30.74,4.95,ADVANCED MICRO DEVICES INC    COM"
"08/19/19,Bought,BOND,912796ST7,500000,-497598.61,99.519722,0,UNITED STATES TREASURY BILL   RE ISSUE 08/22/2019           "
"08/19/19,Bought,EQ,TTD,100,-25104.95,251,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"08/13/19,Reorganization,BOND,912796VQ9,-500000,500000,0,0,UNITED STATES TREASURY BILL   RE-ISSUE 07/16/2019           "
"08/09/19,Wire,UNKNOWN, ,0,-100000,0,0,WIRE OUT"
"08/09/19,Fee,UNKNOWN, ,0,-25,0,0,OUTGOING WIRE FEE"
"08/09/19,Dividend,EQ,MA,0,33,0,0,MASTERCARD INCORPORATED       CASH DIV  ON     100 SHS      "
"08/08/19,Reorganization,BOND,912796SC4,-350000,350000,0,0,UNITED STATES TREASURY BILL   RE-ISSUE 05/09/2019           "
"08/05/19,Bought,BOND,912796RM3,500000,-497484.86,99.496972,0,UNITED STATES TREASURY BILL   RE-ISSUE 08/08/2019           "
"08/05/19,Sold,EQ,LULU,-100,17477.35,174.8268,4.95,LULULEMON ATHLETICA INC"
"08/01/19,Sold,EQ,PRU,-100,9302.27,93.0743,4.95,PRUDENTIAL FINANCIAL INC"
"08/01/19,Dividend,EQ,VZ,0,180.75,0,0,VERIZON COMMUNICATIONS        CASH DIV  ON     300 SHS      "
"08/01/19,Dividend,EQ,NRK,0,90,0,0,NUVEEN NEW YORK AMT FREE      QUALITY MUNICIPAL INCOME FUND "
"07/31/19,Dividend,EQ,TRP,0,-17.1,0,0,***TC ENERGY C Foreign Stk W/HCOM                           "
"07/31/19,Dividend,EQ,TRP,0,114.03,0,0,***TC ENERGY CORP             COM                           "
"07/30/19,Dividend,EQ,CIM,0,500,0,0,CHIMERA INVESTMENT CORPORATIONCASH DIV  ON    1000 SHS      "
"07/29/19,Sold,EQ,EPAM,-100,20046.93,200.5231,4.95,EPAM SYSTEMS INC"
"07/29/19,Sold,EQ,TTD,-50,13700.88,274.1225,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"07/29/19,Sold,EQ,PYPL,-200,22506.08,112.5576,4.95,PAYPAL HOLDINGS INC           COM"
"07/26/19,Interest,EQ,#2145605,0,288.09,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               "
"07/24/19,Dividend,EQ,CMCSA,0,105,0,0,COMCAST CORP                  CL A                          "
"07/23/19,Reorganization,BOND,912796VM8,-400000,400000,0,0,UNITED STATES TREASURY BILL   REISSUE 06/25/2019            "
"07/15/19,Dividend,EQ,GNL,0,532.5,0,0,GLOBAL NET LEASE INC          COMMON STOCK                  "
"07/15/19,Dividend,EQ,ARI,0,460,0,0,APOLLO COMMERCIAL REAL ESTATE FINANCE INC                   "
"07/11/19,Bought,BOND,912796VQ9,500000,-499169.72,99.833944,0,UNITED STATES TREASURY BILL   RE-ISSUE 07/16/2019           "
"07/08/19,Bought,EQ,TTD,50,-12004.95,240,4.95,TRADE DESK INC (THE)          CLASS A COMMON STOCK"
"07/03/19,Bought,EQ,MSFT,200,-27426.33,137.1069,4.95,MICROSOFT CORP"
"07/02/19,Reorganization,BOND,912796VJ5,-400000,400000,0,0,UNITED STATES TREASURY BILL   RE-ISSUE 06/04/2019           "
"07/01/19,Dividend,EQ,NRK,0,90,0,0,NUVEEN NEW YORK AMT FREE      QUALITY MUNICIPAL INCOME FUND "
"06/28/19,Sold,EQ,SGH,-500,11894.69,23.79,0,***SMART GLOBAL HOLDINGS INC  ORDINARY SHARES"
"06/28/19,Sold,EQ,SGH,-500,11884.74,23.78,4.95,***SMART GLOBAL HOLDINGS INC  ORDINARY SHARES"
